score,business,source_agency,agency_rating,website,defect_found,evidence_url,phone,email,confidence,verified_date
Hot,Falcon Graphics,(none - defect is on this business's own site; surfaced by the agency sweep),4.3,https://www.falcongraphics.co/,"Live site hardcodes Home/About/Blog/Branding/Contact nav links to the developer's staging copy at demo.digitallinksbpo.com/falcon/ (still serving, HTTP 200) - clicking Contact takes customers off the real domain. Page also still contains the unreplaced placeholder 'info@example.com'. Portfolio is a ~28-logo wall with no readable names.",https://www.falcongraphics.co/ ; https://demo.digitallinksbpo.com/falcon/contact/,+968 9437 1666 / +968 9667 8608,,High - links and placeholder string verified in the served HTML,2026-08-21
Hot,"Diamond Wealth Trading LLC (Double Coin tyre distributor, Ghala, Muscat)",Olive Creative Studio,4.5,http://www.diamondwealth.org/,"Footer reads 'Copyright (c) 2014 Diamond Wealth' - 12 years stale. http:// does not redirect to https:// (returns 200 in plaintext, identical bytes). Site is .php pages of that era.",http://www.diamondwealth.org/ ; https://www.olivescs.com/ (listed as a client),+968 2459 0368 / +968 2459 0542,info@diamondwealth.org,High - copyright string and non-redirect verified by direct fetch; client status from Olive's own clients page,2026-08-21
Hot,Al Hilal Al Turkey (restaurant),Abjar Advertising (signage) - name match UNCONFIRMED,4.7,https://alhilalalturkey.com.om/,"Live .com.om domain serves an unedited WordPress default install: 'Hello world!' default post, 'Welcome to WordPress. This is your first post.' and footer 'Copyright (c) 2019 Company Name, Inc.'. 9 placeholder matches in the served HTML. Nav promises Menu/Offers/Gallery/Franchising but no real content or contact is published on the site.",https://alhilalalturkey.com.om/,7270 8883,,"Defect: High (verified by fetch). Link to Abjar: LOW - Abjar's portfolio says only 'Al Hilal', a very common name in Oman; I did not confirm it is this restaurant.",2026-08-21
Hot,"Seeb Waves Restaurant & Grills (3 branches: Seeb, Al Hail, Al Khuwair)",Abjar Advertising (signage),4.7,,"No website at all on any of the three Google listings - signage and fit-out were paid for, the digital storefront was never built.","https://abjarom.com/portfolio/seeb-waves/ ; out/prospecting/broken-site-leads.csv (Places API, NO_WEBSITE)",7954 8458 (Seeb) / 7865 7649 (Al Hail) / 7844 8881 (Al Khuwair),,"Contacts+no-website: High (Places API). Ownership: MEDIUM - Abjar's own project page labels this project 'Client: Nesto', which conflicts with it being an independent restaurant. Confirm who owns it before pitching.",2026-08-21
Warm,Peekaboo Kids Salon,Abjar Advertising (branding),4.7,https://www.instagram.com/peekabookids,"Instagram-only. No owned domain, so no bookings, no search presence, no way to be found outside Instagram.",https://www.instagram.com/peekabookids ; https://abjarom.com/portfolio/peekaboo/,9886 1464,,Medium - phone and social-only status from Places API; the Abjar client 'Peekaboo' is very likely but not proven to be this salon,2026-08-21
Cold,PromaSecure Consulting LLC,Olive Creative Studio,4.5,https://promasecure.com/,"None found. HTTPS, mobile viewport present, footer copyright 2026 (current). Site is maintained.",https://promasecure.com/,,,High,2026-08-21
Cold,Khazzan Logistics Management Services,Olive Creative Studio,4.5,https://www.khazzanlogistics.com/,"None found (HTTPS + viewport, loads clean). Also out of profile: BP block-61 logistics contractor, not an SME buyer.",https://www.khazzanlogistics.com/,+968 22308800,,High,2026-08-21
Cold,IIRISS (Intl Institute of Robotic Intelligence System Studies),Olive Creative Studio,4.5,http://www.iiriss.com/,STALE PORTFOLIO ENTRY: iiriss.com does not resolve in DNS (curl: could not resolve host). The client appears defunct; Olive still lists them.,http://www.iiriss.com/ (DNS failure) ; https://www.olivescs.com/,,,High on the dead domain; no contact exists to act on,2026-08-21
Cold,"OETC, Ministry of Education, GPDCO",Olive Creative Studio,4.5,,"Not assessed - government/utility bodies, outside the SME profile and not buyers of an OMR 800 site.",https://www.olivescs.com/,,,"n/a - excluded by profile, not by defect",2026-08-21
Cold,TASS International LLC,Olive Creative Studio,4.5,,"Could not verify. Only a UAE entity (tass-int.com, portable cabins) is findable; cannot confirm it is the same company Olive lists.",https://www.olivescs.com/,,,Low - identity unresolved,2026-08-21
Cold,"Mehfil Ceramic, Pro Beans, Spicolagy, Tea Town, Tea Time, PetZoo, Mark & Save, Salt, Kusoglu, Shahad Al Jazeera",Abjar Advertising,4.7,,"Not assessable - no website, no Google listing and no search footprint found for any of these names. Absent from the 2,398-business Track 2 dataset too.",https://abjarom.com/portfolio-list/abjar-portfolio/,,,Low - named on Abjar's portfolio but not independently verifiable; missing a website and a contact for each,2026-08-21
Cold,"Pepsi, TRA, OCCI, Nama, Oman Flour Mills, Oman Refreshment",Oman Advertising Agency (OmanAD),4.5,,"Not assessed - large corporates and government regulators. Real names, wrong buyer.",http://www.omanad.net/,,,n/a - excluded by profile,2026-08-21
Cold,"'SFZ', 'Dahabi', 'Friendi', 'MG', 'MSX', 'AP', 'TBT', 'ME', 'Ministry'",Oman Advertising Agency (OmanAD),4.5,,"LOGO-WALL TRAP: these are abbreviations/labels on OmanAD's client wall, not resolvable business names. Not guessed at.",http://www.omanad.net/,,,Low - unresolvable identities,2026-08-21
Cold,"BLOOM, W7W7, COEX, SARAY, OROUBA COFFEE, EL MASRY STEEL, RAMY CLASS, ELTAWFIK ATM, CUTS & NUTS, PICK 'N GO, CHOCOLATE SHOT, CAMPASH, OPPO Egypt, Brijo, Moursi",Ultimate Solutions Technology LLC,4.1,,"OUT OF MARKET: every named client is in Egypt (Cairo, Alexandria, 6th of October, Tanta). The Muscat listing is one branch of an Egypt-headquartered ERP/POS firm; its Oman branch names no Oman clients.",https://ultimatesolutionsportal.com/clients/ ; https://ultimatesolutionsportal.com/success-stories/,,,High - read directly off their clients page,2026-08-21
